Date,Signal,ClosePrice
20120103,3.1077669902912,127.495
20120104,3.107281553398,127.7
20120105,3.0997572815533,128.04
20120106,3.1342233009708,127.71
20120109,3.135922330097,128.02
20120110,3.1434466019417,129.13
20120111,3.1271844660194,129.2
20120112,3.1393203883495,129.51
20120113,3.1740291262135,128.84
20120117,3.1907766990291,129.34
20120118,3.2026699029126,130.77
20120119,3.1944174757281,131.46
20120120,3.1907766990291,131.95
20120123,3.2174757281553,131.61
20120124,3.2009708737864,131.46
20120125,3.1995145631067,132.56
20120126,3.1885922330097,131.88
20120127,3.1873786407766,131.82
20120130,3.2152912621359,131.37
20120131,3.2203883495145,131.32
20120201,3.2633495145631,132.47
20120202,3.2655339805825,132.68
20120203,3.2716019417475,134.54
20120206,3.2813106796116,134.45
20120207,3.2854368932038,134.79
20120208,3.2611893203883,135.19
20120209,3.2854368932038,135.36
20120210,3.2813106796116,134.361
20120213,3.2660194174757,135.36
20120214,3.3021601941747,135.19
20120215,3.310922330097,134.56
20120216,3.3123786407766,136.049
20120217,3.3017475728155,136.41
20120221,3.3162864077669,136.47
20120222,3.3235436893203,136.032
20120223,3.3291262135922,136.631
20120224,3.3388106796116,136.93
20120227,3.3257281553398,137.16
20120228,3.3429611650485,137.559
20120229,3.3328155339805,137.02
20120301,3.3191747572815,137.73
20120302,3.2934466019417,137.312
20120305,3.2706310679611,136.75
20120306,3.326213592233,134.75
20120307,3.3390776699029,135.69
20120308,3.3393203883495,137.04
20120309,3.3995631067961,137.57
20120312,3.3958737864077,137.58
20120313,3.4155339805825,140.062
20120314,3.4053398058252,139.91
20120315,3.4186893203883,140.72
20120316,3.4087378640776,140.3
20120319,3.4031553398058,140.85
20120320,3.378640776699,140.44
20120321,3.3895631067961,140.21
20120322,3.43713592233,139.2
20120323,3.4264563106796,139.65
20120326,3.4094660194174,141.61
20120327,3.403640776699,141.17
20120328,3.4177184466019,140.47
20120329,3.4427184466019,140.23
20120330,3.428640776699,140.81
20120402,3.3946601941747,141.84
20120403,3.3929611650485,141.26
20120404,3.354854368932,139.86
20120405,3.2985436893203,139.79
20120409,3.3252427184466,138.22
20120410,3.3686893203883,135.9
20120411,3.328640776699,137
20120412,3.3264563106796,138.79
20120413,3.3757766990291,137.14
20120416,3.3643203883495,137.05
20120417,3.3427184466019,139.082
20120418,3.3483009708737,138.61
20120419,3.3201456310679,137.72
20120420,3.3327669902912,137.95
20120423,3.3783980582524,136.79
20120424,3.4019417475728,137.31
20120425,3.4075242718446,139.19
20120426,3.3949029126213,140.16
20120427,3.4160194174757,140.39
20120430,3.4059466019417,139.87
20120501,3.3143203883495,140.74
20120502,3.3252427184466,140.325
20120503,3.3276699029126,139.25
20120504,3.379854368932,137
20120507,3.2946601941747,137.1
20120508,3.3014563106796,136.55
20120509,3.2915048543689,135.74
20120510,3.2550970873786,136.02
20120511,3.2364077669902,135.61
20120514,3.2240048543689,134.11
20120515,3.176213592233,133.34
20120516,3.1490291262135,132.829
20120517,3.2031553398058,130.86
20120518,3.2087378640776,129.74
20120521,3.2104368932038,131.97
20120522,3.2167475728155,132.2
20120523,3.2063106796116,132.27
20120524,3.2451456310679,132.53
20120525,3.1980582524271,132.1
20120529,3.1910194174757,133.7
20120530,3.1106796116504,131.76
20120531,3.1092233009708,131.47
20120601,3.2050970873786,128.16
20120604,3.2031553398058,128.1
20120605,3.1327669902912,129.07
20120606,3.2305825242718,131.97
20120607,3.1896844660194,132.05
20120608,3.226213592233,133.1
20120611,3.2055825242718,131.415
20120612,3.2395631067961,132.92
20120613,3.2558252427184,132.07
20120614,3.26213592233,133.47
20120615,3.2936893203883,134.14
20120618,3.2883495145631,134.4
20120619,3.2145631067961,135.7
20120620,3.2393203883495,135.48
20120621,3.1873786407766,132.44
20120622,3.2033980582524,133.46
20120625,3.232354368932,131.32
20120626,3.2230582524271,131.98
20120627,3.3035194174757,133.173
20120628,3.3133495145631,132.79
20120629,3.3352427184466,136.105
20120702,3.2844660194174,136.51
20120703,3.2885922330097,137.412
20120705,3.3201456310679,136.79
20120706,3.2558252427184,135.49
20120709,3.2563106796116,135.32
20120710,3.2405339805825,134.14
20120711,3.2949029126213,134.16
20120712,3.28713592233,133.51
20120713,3.309708737864,135.75
20120716,3.3342233009708,135.43
20120717,3.3429611650485,136.36
20120718,3.3123786407766,137.37
20120719,3.2788834951456,137.73
20120720,3.2506067961165,136.47
